serial,install_date,p_active,p_mobile,truth_alltime,truth_schedule
D01821,2025-07-08,0.22,0.245,0,0
D01822,2025-07-08,0.057,0.426,0,0
D01823,2025-07-08,0.144,0.523,0,0
D01824,2025-07-08,0.185,0.405,0,0
D01825,2025-07-08,0.26,0.703,0,0
D01826,2025-07-08,0.263,0.476,0,0
D01827,2025-07-08,0.086,0.225,0,0
D01828,2025-07-08,0.488,0.195,0,0
D01829,2025-07-08,0.214,0.549,0,0
D01830,2025-07-08,0.165,0.591,0,0
D01831,2025-07-08,0.157,0.18,0,0
D01832,2025-07-08,0.069,0.554,0,0
D01833,2025-07-08,0.481,0.539,1,0
D01834,2025-07-08,0.093,0.445,0,0
D01835,2025-07-08,0.233,0.658,0,1
D01836,2025-07-08,0.442,0.695,0,0
D01837,2025-07-08,0.072,0.237,1,0
D01838,2025-07-08,0.243,0.491,0,0
D01839,2025-07-08,0.283,0.779,0,1
D01840,2025-07-08,0.23,0.553,0,0
D01841,2025-07-08,0.331,0.485,0,0
D01842,2025-07-08,0.143,0.623,0,0
D01843,2025-07-08,0.217,0.078,0,0
D01844,2025-07-08,0.373,0.359,0,0
D01845,2025-07-08,0.342,0.456,0,0
D01846,2025-07-08,0.221,0.432,1,0
D01847,2025-07-08,0.306,0.323,0,0
D01848,2025-07-08,0.111,0.443,1,0
D01849,2025-07-08,0.282,0.372,0,0
D01850,2025-07-08,0.254,0.642,0,0
D01851,2025-08-19,0.746,0.062,0,0
D01852,2025-08-19,0.083,0.145,0,0
D01853,2025-08-19,0.429,0.295,0,0
D01854,2025-08-19,0.371,0.196,0,0
D01855,2025-08-19,0.046,0.354,0,0
D01856,2025-08-19,0.269,0.478,0,0
D01857,2025-08-19,0.485,0.54,0,0
D01858,2025-08-19,0.295,0.722,1,0
D01859,2025-08-19,0.518,0.238,1,0
D01860,2025-08-19,0.367,0.311,0,0
D01861,2025-08-19,0.237,0.518,0,0
D01862,2025-08-19,0.022,0.27,1,0
D01863,2025-08-19,0.406,0.535,1,0
D01864,2025-08-19,0.376,0.598,1,0
D01865,2025-08-19,0.643,0.599,0,0
D01866,2025-08-19,0.532,0.331,1,0
D01867,2025-08-19,0.191,0.417,0,0
D01868,2025-08-19,0.409,0.443,0,0
D01869,2025-08-19,0.302,0.195,1,0
D01870,2025-08-19,0.175,0.24,0,0
D01871,2025-08-19,0.265,0.609,0,0
D01872,2025-08-19,0.331,0.51,0,0
D01873,2025-08-19,0.178,0.324,0,0
D01874,2025-08-19,0.396,0.779,0,0
D01875,2025-08-19,0.28,0.66,1,0
D01876,2025-08-19,0.537,0.303,0,0
D01877,2025-08-19,0.256,0.108,0,0
D01878,2025-08-19,0.09,0.584,1,0
D01879,2025-08-19,0.325,0.168,0,0
D01880,2025-08-19,0.381,0.676,0,0
D01881,2025-08-19,0.195,0.324,1,0
D01882,2025-08-19,0.302,0.686,0,1
D01883,2025-08-19,0.115,0.403,0,0
D01884,2025-08-19,0.214,0.269,0,0
D01885,2025-08-19,0.168,0.136,0,1
D01886,2025-08-19,0.251,0.168,0,0
D01887,2025-08-19,0.335,0.157,1,0
D01888,2025-08-19,0.62,0.443,0,0
D01889,2025-08-19,0.077,0.551,0,0
D01890,2025-08-19,0.671,0.235,0,0
D01891,2025-08-19,0.24,0.34,1,0
D01892,2025-08-19,0.16,0.241,0,0
D01893,2025-08-19,0.495,0.371,1,0
D01894,2025-08-19,0.547,0.384,0,0
D01895,2025-08-19,0.607,0.223,0,0
D01896,2025-08-19,0.602,0.138,0,0
D01897,2025-08-19,0.06,0.272,1,0
D01898,2025-08-19,0.345,0.111,1,0
D01899,2025-08-19,0.3,0.247,0,0
D01900,2025-08-19,0.464,0.484,1,0
D01901,2025-08-19,0.259,0.148,1,0
D01902,2025-08-19,0.355,0.576,0,0
D01903,2025-08-19,0.142,0.627,0,0
D01904,2025-08-19,0.448,0.413,1,0
D01905,2025-08-19,0.017,0.266,0,0
D01906,2025-08-19,0.186,0.684,0,0
D01907,2025-08-19,0.123,0.846,0,0
D01908,2025-08-19,0.32,0.192,0,0
D01909,2025-08-19,0.073,0.346,0,0
D01910,2025-08-19,0.104,0.282,0,0
D01911,2025-08-19,0.165,0.257,0,0
D01912,2025-08-19,0.375,0.783,0,0
D01913,2025-08-19,0.329,0.583,1,0
D01914,2025-08-19,0.303,0.331,0,0
D01915,2025-08-19,0.242,0.225,1,0
D01916,2025-08-19,0.551,0.677,0,0
D01917,2025-08-19,0.224,0.438,0,0
D01918,2025-08-19,0.494,0.167,0,0
D01919,2025-08-19,0.167,0.581,0,0
D01920,2025-08-19,0.346,0.876,0,0
D01921,2025-08-19,0.179,0.018,1,0
D01922,2025-08-19,0.468,0.203,0,0
D01923,2025-08-19,0.389,0.637,0,0
D01924,2025-08-19,0.513,0.413,1,0
D01925,2025-08-19,0.134,0.25,0,0
D01926,2025-08-19,0.194,0.646,0,0
D01927,2025-08-19,0.153,0.322,0,0
D01928,2025-08-19,0.068,0.354,0,0
D01929,2025-08-19,0.101,0.674,0,1
D01930,2025-08-19,0.277,0.238,1,0
D01931,2025-08-19,0.178,0.421,1,0
D01932,2025-08-19,0.274,0.157,1,0
D01933,2025-08-19,0.195,0.184,0,0
D01934,2025-08-19,0.165,0.39,0,0
D01935,2025-08-19,0.311,0.583,1,0
D01936,2025-08-19,0.162,0.784,0,0
D01937,2025-08-19,0.184,0.391,0,0
D01938,2025-08-19,0.082,0.235,0,0
D01939,2025-08-19,0.156,0.51,0,0
D01940,2025-08-19,0.352,0.093,0,0
D01941,2025-08-19,0.424,0.83,0,0
D01942,2025-08-19,0.362,0.374,1,0
D01943,2025-08-19,0.468,0.081,0,0
D01944,2025-08-19,0.047,0.269,0,0
D01945,2025-08-19,0.196,0.287,0,0
D01946,2025-08-19,0.114,0.506,0,0
D01947,2025-08-19,0.166,0.606,0,0
D01948,2025-08-19,0.032,0.649,0,0
D01949,2025-08-19,0.149,0.408,0,0
D01950,2025-08-19,0.237,0.257,0,0
D01951,2025-08-19,0.306,0.192,0,0
D01952,2025-08-19,0.366,0.476,0,0
D01953,2025-08-19,0.142,0.397,1,0
D01954,2025-08-19,0.495,0.533,0,0
D01955,2025-08-19,0.565,0.234,1,0
D01956,2025-08-19,0.618,0.818,1,0
D01957,2025-08-19,0.562,0.54,0,0
D01958,2025-08-19,0.251,0.293,0,0
D01959,2025-08-19,0.227,0.705,1,0
D01960,2025-08-19,0.091,0.531,1,0
D01961,2025-08-19,0.396,0.598,1,0
D01962,2025-08-19,0.277,0.179,0,0
D01963,2025-08-19,0.587,0.397,0,0
D01964,2025-08-19,0.155,0.967,1,0
D01965,2025-08-19,0.296,0.268,1,0
D01966,2025-08-19,0.221,0.162,0,0
D01967,2025-08-19,0.244,0.527,0,1
D01968,2025-08-19,0.616,0.37,0,0
D01969,2025-08-19,0.108,0.215,0,0
D01970,2025-08-19,0.203,0.309,0,0
D01971,2025-08-19,0.24,0.198,0,1
D01972,2025-08-19,0.318,0.271,0,0
D01973,2025-08-19,0.139,0.163,1,0
D01974,2025-08-19,0.376,0.576,0,0
D01975,2025-08-19,0.216,0.387,0,0
D01976,2025-08-19,0.453,0.118,0,0
D01977,2025-08-19,0.081,0.695,0,0
D01978,2025-08-19,0.025,0.35,1,0
D01979,2025-08-19,0.209,0.149,0,0
D01980,2025-08-19,0.302,0.67,0,0
D01981,2025-08-19,0.1,0.579,1,0
D01982,2025-08-19,0.42,0.232,0,0
D01983,2025-08-19,0.422,0.158,0,0
D01984,2025-08-19,0.111,0.37,0,0
D01985,2025-08-19,0.243,0.628,0,0
D01986,2025-08-19,0.114,0.475,0,0
D01987,2025-08-19,0.361,0.252,0,0
D01988,2025-08-19,0.069,0.146,0,1
D01989,2025-08-19,0.086,0.312,0,0
D01990,2025-08-19,0.121,0.444,1,0
D01991,2025-08-19,0.264,0.428,0,0
D01992,2025-08-19,0.113,0.773,0,0
D01993,2025-08-19,0.366,0.264,0,0
D01994,2025-08-19,0.372,0.213,1,0
D01995,2025-08-19,0.577,0.166,1,0
D01996,2025-08-19,0.195,0.749,0,0
D01997,2025-08-19,0.235,0.181,1,0
D01998,2025-08-19,0.524,0.658,1,0
D01999,2025-08-19,0.056,0.529,0,0
D02000,2025-08-19,0.152,0.29,0,0
